APR-DRG,SEVERITY,DRG_CODE,MDC,DESCRIPTION,WEIGHT
1,1,11,PRE,Liver Transplant,11.1331
1,2,12,PRE,Liver Transplant,11.3479
1,3,13,PRE,Liver Transplant,11.4504
1,4,14,PRE,Liver Transplant,22.8338
2,1,21,PRE,Heart &/or Lung Transplant,10.4706
2,2,22,PRE,Heart &/or Lung Transplant,10.9585
2,3,23,PRE,Heart &/or Lung Transplant,18.0726
2,4,24,PRE,Heart &/or Lung Transplant,29.288
3,1,31,PRE,Bone Marrow Transplant,8.8698
3,2,32,PRE,Bone Marrow Transplant,10.1055
3,3,33,PRE,Bone Marrow Transplant,13.6855
3,4,34,PRE,Bone Marrow Transplant,27.7177
4,1,41,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,7.6303
4,2,42,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,7.6433
4,3,43,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,10.8501
4,4,44,PRE,Tracheostomy W Long Term Mechanical Ventilation W Extensive Procedure,18.5852
5,1,51,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,6.0922
5,2,52,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,6.2787
5,3,53,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,9.3798
5,4,54,PRE,Tracheostomy W Long Term Mechanical Ventilation W/O Extensive Procedure,13.5779
6,1,61,PRE,Pancreas Transplant,8.2544
6,2,62,PRE,Pancreas Transplant,8.2544
6,3,63,PRE,Pancreas Transplant,8.5776
6,4,64,PRE,Pancreas Transplant,9.5626
20,1,201,01,Craniotomy for Trauma,1.8374
20,2,202,01,Craniotomy for Trauma,2.2949
20,3,203,01,Craniotomy for Trauma,3.7087
20,4,204,01,Craniotomy for Trauma,6.693
21,1,211,01,Craniotomy Except for Trauma,1.907
21,2,212,01,Craniotomy Except for Trauma,2.6806
21,3,213,01,Craniotomy Except for Trauma,4.3995
21,4,214,01,Craniotomy Except for Trauma,7.7201
22,1,221,01,Ventricular Shunt Procedures,1.1886
22,2,222,01,Ventricular Shunt Procedures,1.8534
22,3,223,01,Ventricular Shunt Procedures,4.3578
22,4,224,01,Ventricular Shunt Procedures,7.2156
23,1,231,01,Spinal Procedures,1.6141
23,2,232,01,Spinal Procedures,2.1057
23,3,233,01,Spinal Procedures,4.1249
23,4,234,01,Spinal Procedures,8.5394
24,1,241,01,Extracranial Vascular Procedures,1.2404
24,2,242,01,Extracranial Vascular Procedures,1.8591
24,3,243,01,Extracranial Vascular Procedures,3.8261
24,4,244,01,Extracranial Vascular Procedures,6.9907
26,1,261,01,Other Nervous System & Related Procedures,1.1097
26,2,262,01,Other Nervous System & Related Procedures,1.6591
26,3,263,01,Other Nervous System & Related Procedures,2.9864
26,4,264,01,Other Nervous System & Related Procedures,6.5625
40,1,401,01,Spinal Disorders & Injuries,0.7999
40,2,402,01,Spinal Disorders & Injuries,1.0005
40,3,403,01,Spinal Disorders & Injuries,1.6207
40,4,404,01,Spinal Disorders & Injuries,1.9585
41,1,411,01,Nervous System Malignancy,0.7421
41,2,412,01,Nervous System Malignancy,0.8856
41,3,413,01,Nervous System Malignancy,1.5794
41,4,414,01,Nervous System Malignancy,3.011
42,1,421,01,Degenerative Nervous System Disorders Exc Mult Sclerosis,0.6079
42,2,422,01,Degenerative Nervous System Disorders Exc Mult Sclerosis,0.8472
42,3,423,01,Degenerative Nervous System Disorders Exc Mult Sclerosis,1.2275
42,4,424,01,Degenerative Nervous System Disorders Exc Mult Sclerosis,3.5168
43,1,431,01,Multiple Sclerosis & Other Demyelinating Diseases,0.6747
43,2,432,01,Multiple Sclerosis & Other Demyelinating Diseases,0.9223
43,3,433,01,Multiple Sclerosis & Other Demyelinating Diseases,1.6474
43,4,434,01,Multiple Sclerosis & Other Demyelinating Diseases,5.0661
44,1,441,01,Intracranial Hemorrhage,0.9777
44,2,442,01,Intracranial Hemorrhage,1.3334
44,3,443,01,Intracranial Hemorrhage,1.9022
44,4,444,01,Intracranial Hemorrhage,3.0091
45,1,451,01,CVA & Precerebral Occulusion w/ Infarct,0.7497
45,2,452,01,CVA & Precerebral Occulusion w/ Infarct,1.0302
45,3,453,01,CVA & Precerebral Occulusion w/ Infarct,1.6582
45,4,454,01,CVA & Precerebral Occulusion w/ Infarct,3.3906
46,1,461,01,Nonspecific CVA & Precerebral Occlusion w/o Infarct,0.6748
46,2,462,01,Nonspecific CVA & Precerebral Occlusion w/o Infarct,0.8572
46,3,463,01,Nonspecific CVA & Precerebral Occlusion w/o Infarct,1.0921
46,4,464,01,Nonspecific CVA & Precerebral Occlusion w/o Infarct,1.1446
47,1,471,01,Transient Ischemia,0.4709
47,2,472,01,Transient Ischemia,0.5892
47,3,473,01,Transient Ischemia,0.8901
47,4,474,01,Transient Ischemia,0.9162
48,1,481,01,"Peripheral, Cranial & Autonomic Nerve Disorders",0.4956
48,2,482,01,"Peripheral, Cranial & Autonomic Nerve Disorders",0.7001
