MS-DRG,DRG_CODE,MDC,TYPE,DESCRIPTION,WEIGHT
1,1,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,25.3518
2,2,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,15.2738
3,3,PRE,SURG,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.6369
4,4,PRE,SURG,"TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.9288
5,5,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.4214
6,6,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.7639
7,7,PRE,SURG,LUNG TRANSPLANT,9.1929
8,8,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.1527
10,10,PRE,SURG,PANCREAS TRANSPLANT,4.1554
11,11,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",4.7246
12,12,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.2291
13,13,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2.1647
14,14,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,10.6157
16,16,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.0304
17,17,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.2906
20,20,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.3897
21,21,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,6.4458
22,22,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.7113
23,23,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.1587
24,24,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.7121
25,25,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.4422
26,26,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9842
27,27,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.2505
28,28,01,SURG,SPINAL PROCEDURES W MCC,5.4339
29,29,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.0782
30,30,01,SURG,SPINAL PROCEDURES W/O CC/MCC,1.8091
31,31,01,SURG,VENTRICULAR SHUNT PROCEDURES W MCC,3.946
32,32,01,SURG,VENTRICULAR SHUNT PROCEDURES W CC,1.978
33,33,01,SURG,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,1.5226
34,34,01,SURG,CAROTID ARTERY STENT PROCEDURE W MCC,3.4145
35,35,01,SURG,CAROTID ARTERY STENT PROCEDURE W CC,2.1781
36,36,01,SURG,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,1.7224
37,37,01,SURG,EXTRACRANIAL PROCEDURES W MCC,3.0641
38,38,01,SURG,EXTRACRANIAL PROCEDURES W CC,1.5958
39,39,01,SURG,EXTRACRANIAL PROCEDURES W/O CC/MCC,1.0452
40,40,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,3.7851
41,41,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2.1731
42,42,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,1.8616
52,52,01,MED,SPINAL DISORDERS & INJURIES W CC/MCC,1.4102
53,53,01,MED,SPINAL DISORDERS & INJURIES W/O CC/MCC,0.8746
54,54,01,MED,NERVOUS SYSTEM NEOPLASMS W MCC,1.3195
55,55,01,MED,NERVOUS SYSTEM NEOPLASMS W/O MCC,1.01
56,56,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,1.7368
57,57,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,0.9841
58,58,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,1.6027
59,59,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,1.0399
60,60,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,0.7899
61,61,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,2.7316
62,62,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,1.8561
63,63,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,1.4685
64,64,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1.7417
65,65,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,1.0776
66,66,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,0.7566
67,67,01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,1.4172
68,68,01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,0.8582
69,69,01,MED,TRANSIENT ISCHEMIA,0.6948
70,70,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,1.6593
71,71,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,0.9796
72,72,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,0.6919
73,73,01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,1.3014
74,74,01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,0.8786
75,75,01,MED,VIRAL MENINGITIS W CC/MCC,1.5918
76,76,01,MED,VIRAL MENINGITIS W/O CC/MCC,0.8425
77,77,01,MED,HYPERTENSIVE ENCEPHALOPATHY W MCC,1.629
78,78,01,MED,HYPERTENSIVE ENCEPHALOPATHY W CC,0.9467
79,79,01,MED,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,0.7118
80,80,01,MED,NONTRAUMATIC STUPOR & COMA W MCC,1.2252
81,81,01,MED,NONTRAUMATIC STUPOR & COMA W/O MCC,0.7455
82,82,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",1.9463
83,83,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",1.2643
84,84,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",0.8491
85,85,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",1.9733
86,86,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",1.1105
87,87,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",0.7345
88,88,01,MED,CONCUSSION W MCC,1.5029
89,89,01,MED,CONCUSSION W CC,0.9406
90,90,01,MED,CONCUSSION W/O CC/MCC,0.714
91,91,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,1.5851
92,92,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W CC,0.8918
93,93,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,0.6614
94,94,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,3.4974
95,95,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,2.2787
96,96,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,1.9694
97,97,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,3.1963
98,98,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,1.7657
99,99,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,1.1835
100,100,01,MED,SEIZURES W MCC,1.5185
101,101,01,MED,SEIZURES W/O MCC,0.7569
102,102,01,MED,HEADACHES W MCC,1.043
103,103,01,MED,HEADACHES W/O MCC,0.6663
113,113,02,SURG,ORBITAL PROCEDURES W CC/MCC,1.8998
114,114,02,SURG,ORBITAL PROCEDURES W/O CC/MCC,1.0216
115,115,02,SURG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1.2543
116,116,02,SURG,INTRAOCULAR PROCEDURES W CC/MCC,1.4806
117,117,02,SURG,INTRAOCULAR PROCEDURES W/O CC/MCC,0.8211
121,121,02,MED,ACUTE MAJOR EYE INFECTIONS W CC/MCC,1.0215
122,122,02,MED,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,0.6147
123,123,02,MED,NEUROLOGICAL EYE DISORDERS,0.6963
124,124,02,MED,OTHER DISORDERS OF THE EYE W MCC,1.199
125,125,02,MED,OTHER DISORDERS OF THE EYE W/O MCC,0.6812
129,129,03,SURG,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2.1925
130,130,03,SURG,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,1.2687
131,131,03,SURG,CRANIAL/FACIAL PROCEDURES W CC/MCC,2.2038
132,132,03,SURG,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,1.2855
133,133,03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",1.7824
134,134,03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",0.9584
135,135,03,SURG,SINUS & MASTOID PROCEDURES W CC/MCC,2.011
136,136,03,SURG,SINUS & MASTOID PROCEDURES W/O CC/MCC,0.9709
137,137,03,SURG,MOUTH PROCEDURES W CC/MCC,1.3477
138,138,03,SURG,MOUTH PROCEDURES W/O CC/MCC,0.8304
